ISSN;Título;Área de Avaliação;Estrato
0003-682X;APPLIED ACOUSTICS;BIODIVERSIDADE;B1
0003-682X;APPLIED ACOUSTICS;ARQUITETURA, URBANISMO E DESIGN;A1
0003-6846;APPLIED ECONOMICS (PRINT);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0003-6870;APPLIED ERGONOMICS;ARQUITETURA, URBANISMO E DESIGN;A1
0003-6935;APPLIED OPTICS;ASTRONOMIA / FÍSICA                               ;B2
0003-6935;APPLIED OPTICS;ASTRONOMIA / FÍSICA                               ;B2
0003-6951;APPLIED PHYSICS LETTERS;ASTRONOMIA / FÍSICA                               ;A2
0003-7028;APPLIED SPECTROSCOPY;ASTRONOMIA / FÍSICA                               ;B2
0003-8504;ARCHITECTURAL DESIGN;ARQUITETURA, URBANISMO E DESIGN;B1
0003-8628;ARCHITECTURAL SCIENCE REVIEW (SYDNEY);ARQUITETURA, URBANISMO E DESIGN;B3
0003-8695;L' ARCHITECTURE D'AUJOURD'HUI;ARQUITETURA, URBANISMO E DESIGN;A2
0003-9136;ARCHIV FÜR HYDROBIOLOGIE;BIODIVERSIDADE;B1
0003-9438;ARCHIV FUR TIERZUCHT / ARCHIVES OF ANIMAL BREEDING;BIODIVERSIDADE;B2
0003-9527;ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS (PRINT);ASTRONOMIA / FÍSICA                               ;B1
0003-9861;ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS (PRINT);ASTRONOMIA / FÍSICA                               ;B1
0003-9969;ARCHIVES OF ORAL BIOLOGY;BIODIVERSIDADE;B1
0003-9969;ARCHIVES OF ORAL BIOLOGY;ASTRONOMIA / FÍSICA                               ;B3
0003-9969;ARCHIVES OF ORAL BIOLOGY;ANTROPOLOGIA / ARQUEOLOGIA                        ;B2
0004-0592;ARCHIVOS DE ZOOTECNIA (INTERNET);BIODIVERSIDADE;B4
0004-0592;ARCHIVOS DE ZOOTECNIA;BIODIVERSIDADE;B4
0004-0592;ARCHIVOS DE ZOOTECNIA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;B2
0004-0622;ARCHIVOS LATINOAMERICANOS DE NUTRICIÓN;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0004-282X;ARQUIVOS DE NEURO-PSIQUIATRIA;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0004-2927;ARS PHARMACEUTICA;BIODIVERSIDADE;B5
0004-3079;THE ART BULLETIN (NEW YORK, N.Y.);ARTES;A1
0004-6256;THE ASTRONOMICAL JOURNAL (NEW YORK, N.Y.);ASTRONOMIA / FÍSICA                               ;A2
0004-6264;PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN;ASTRONOMIA / FÍSICA                               ;B1
0004-6280;PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC;ASTRONOMIA / FÍSICA                               ;A2
0004-6337;ASTRONOMISCHE NACHRICHTEN (PRINT);ASTRONOMIA / FÍSICA                               ;B4
0004-6361;ASTRONOMY & ASTROPHYSICS (BERLIN. PRINT);ASTRONOMIA / FÍSICA                               ;A1
0004-6361;ASTRONOMY & ASTROPHYSICS (BERLIN);ASTRONOMIA / FÍSICA                               ;A1
0004-637X;THE ASTROPHYSICAL JOURNAL LETTERS;ASTRONOMIA / FÍSICA                               ;A1
0004-637X;THE ASTROPHYSICAL JOURNAL;ASTRONOMIA / FÍSICA                               ;A1
0004-637X;THE ASTROPHYSICAL JOURNAL;ASTRONOMIA / FÍSICA                               ;A1
0004-640X;ASTROPHYSICS AND SPACE SCIENCE;ASTRONOMIA / FÍSICA                               ;B2
0004-7856;AUFSCHLUSS (HEIDELBERG);ARQUITETURA, URBANISMO E DESIGN;B5
0005-2728;BIOCHIMICA ET BIOPHYSICA ACTA. BIOENERGETICS;BIODIVERSIDADE;A2
0005-2736;BIOCHIMICA ET BIOPHYSICA ACTA. BIOMEMBRANES;BIODIVERSIDADE;B1
0005-2736;BIOCHIMICA ET BIOPHYSICA ACTA. BIOMEMBRANES;ASTRONOMIA / FÍSICA                               ;A2
0005-772X;BEE WORLD;BIODIVERSIDADE;C 
0005-7959;BEHAVIOUR (LEIDEN. PRINT);BIODIVERSIDADE;B1
0005-805X;BEITRÄGE ZUR ENTOMOLOGIE;BIODIVERSIDADE;C 
0006-291X;BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS (PRINT);BIODIVERSIDADE;B2
0006-2960;BIOCHEMISTRY (EASTON);BIODIVERSIDADE;B1
0006-2960;BIOCHEMISTRY (EASTON);ASTRONOMIA / FÍSICA                               ;B1
0006-3088;BIOLOGIA (BRATISLAVA);BIODIVERSIDADE;B3
0006-3134;BIOLOGIA PLANTARUM (PRAHA);BIODIVERSIDADE;B1
0006-3207;BIOLOGICAL CONSERVATION;BIODIVERSIDADE;A1
0006-3363;BIOLOGY OF REPRODUCTION;BIODIVERSIDADE;A2
0006-3495;BIOPHYSICAL JOURNAL (PRINT);ASTRONOMIA / FÍSICA                               ;A2
0006-3525;BIOPOLYMERS (NEW YORK. PRINT);BIODIVERSIDADE;B2
0006-3525;BIOPOLYMERS (NEW YORK. PRINT);ASTRONOMIA / FÍSICA                               ;B1
0006-355X;BIORHEOLOGY (OXFORD);ASTRONOMIA / FÍSICA                               ;B5
0006-355X;BIORHEOLOGY (OXFORD);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0006-3568;BIOSCIENCE (WASHINGTON. PRINT);BIODIVERSIDADE;A1
0006-3606;BIOTROPICA (LAWRENCE, KS);BIODIVERSIDADE;B1
0006-4971;BLOOD (PHILADELPHIA, PA);BIODIVERSIDADE;A1
0006-5196;BLUMEA (LEIDEN);BIODIVERSIDADE;B2
0006-5218;BLUMENAU EM CADERNOS;ARTES;C 
0006-579X;BOIS ET FORÊTS DES TROPIQUES;BIODIVERSIDADE;B5
0006-6184;BOLETIN CULTURAL Y BIBLIOGRAFICO;ANTROPOLOGIA / ARQUEOLOGIA                        ;C 
0006-6729;BOLLETTINO DI GEOFISICA TEORICA ED APPLICATA;BIODIVERSIDADE;B3
0006-7377;BOOK BIRD;ARTES;B5
0006-8055;BOTANICA MARINA (PRINT);BIODIVERSIDADE;B1
0006-8241;BOTHALIA (PRETORIA);BIODIVERSIDADE;B3
