ISSN;Título;Área de Avaliação;Estrato
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);CIÊNCIAS AGRÁRIAS I                               ;A2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS;CIÊNCIAS AGRÁRIAS I                               ;A2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);CIÊNCIA DE ALIMENTOS                              ;B5
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);BIOTECNOLOGIA                                     ;B3
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);BIODIVERSIDADE;B2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS;BIODIVERSIDADE;B2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);ASTRONOMIA / FÍSICA                               ;B4
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);ANTROPOLOGIA / ARQUEOLOGIA                        ;A2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS;ANTROPOLOGIA / ARQUEOLOGIA                        ;A2
0001-3765;ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO);ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A2
0001-4265;ACADEMY OF GENERAL DENTISTRY;BIODIVERSIDADE;C 
0001-4273;ACADEMY OF MANAGEMENT JOURNAL;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0001-4575;ACCIDENT ANALYSIS AND PREVENTION;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;A1
0001-4842;ACCOUNTS OF CHEMICAL RESEARCH;CIÊNCIAS BIOLÓGICAS III                           ;A1
0001-4842;ACCOUNTS OF CHEMICAL RESEARCH;CIÊNCIAS BIOLÓGICAS I                             ;A1
0001-4842;ACCOUNTS OF CHEMICAL RESEARCH;ASTRONOMIA / FÍSICA                               ;A1
0001-4966;THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;CIÊNCIA DA COMPUTAÇÃO                             ;B3
0001-4966;THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;BIODIVERSIDADE;B1
0001-4966;THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;ASTRONOMIA / FÍSICA                               ;B2
0001-4966;THE JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA;ARTES;A2
0001-5172;ACTA ANAESTHESIOLOGICA SCANDINAVICA;CIÊNCIAS BIOLÓGICAS II                            ;B2
0001-5237;ACTA ASTRONOMICA;ASTRONOMIA / FÍSICA                               ;B1
0001-527X;ACTA BIOCHIMICA POLONICA;CIÊNCIAS BIOLÓGICAS I                             ;B3
0001-5504;ACTA CIENTÍFICA VENEZOLANA;BIODIVERSIDADE;B5
0001-5547;ACTA CYTOLOGICA;CIÊNCIAS BIOLÓGICAS II                            ;B3
0001-5555;ACTA DERMATO-VENEREOLOGICA;CIÊNCIAS BIOLÓGICAS III                           ;B1
0001-5555;ACTA DERMATO-VENEREOLOGICA;CIÊNCIAS BIOLÓGICAS I                             ;A2
0001-5652;HUMAN HEREDITY;CIÊNCIAS BIOLÓGICAS I                             ;B3
0001-5792;ACTA HAEMATOLOGICA;CIÊNCIAS BIOLÓGICAS III                           ;B4
0001-5792;ACTA HAEMATOLOGICA;CIÊNCIAS BIOLÓGICAS I                             ;B4
0001-5962;ACTA MATHEMATICA;ASTRONOMIA / FÍSICA                               ;A2
0001-5970;ACTA MECHANICA;CIÊNCIA DA COMPUTAÇÃO                             ;B3
0001-6012;ACTA MEDICA COSTARRICENSE;CIÊNCIAS BIOLÓGICAS I                             ;C 
0001-6349;ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA;CIÊNCIAS BIOLÓGICAS II                            ;B2
0001-6357;ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.);CIÊNCIAS BIOLÓGICAS III                           ;B3
0001-6357;ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.);CIÊNCIAS BIOLÓGICAS II                            ;B3
0001-6357;ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.);CIÊNCIAS BIOLÓGICAS I                             ;B4
0001-6357;ACTA ODONTOLOGICA SCANDINAVICA;CIÊNCIAS AGRÁRIAS I                               ;B2
0001-6357;ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.);BIOTECNOLOGIA                                     ;B2
0001-6357;ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.);ASTRONOMIA / FÍSICA                               ;B5
0001-6365;ACTA ODONTOLÓGICA VENEZOLANA;CIÊNCIAS BIOLÓGICAS I                             ;C 
0001-6365;ACTA ODONTOLÓGICA VENEZOLANA;BIOTECNOLOGIA                                     ;B5
0001-6454;ACTA ORNITHOLOGICA;BIODIVERSIDADE;B1
0001-6489;ACTA OTO-LARYNGOLOGICA;CIÊNCIAS BIOLÓGICAS II                            ;B3
0001-6489;ACTA OTO-LARYNGOLOGICA;BIOTECNOLOGIA                                     ;B2
0001-6519;ACTA OTORRINOLARINGOLÓGICA ESPAÑOLA;ARTES;B3
0001-6896;ACTA PSIQUIÁTRICA Y PSICOLÓGICA DE AMÉRICA LATINA;DIREITO                                           ;B2
0001-690X;ACTA PSYCHIATRICA SCANDINAVICA;CIÊNCIAS BIOLÓGICAS II                            ;A1
0001-690X;ACTA PSYCHIATRICA SCANDINAVICA;CIÊNCIAS BIOLÓGICAS I                             ;A1
0001-6977;ACTA SOCIETATIS BOTANICORUM POLONIAE;BIOTECNOLOGIA                                     ;B2
0001-7051;ACTA THERIOLOGICA;CIÊNCIAS BIOLÓGICAS I                             ;B4
0001-7051;ACTA THERIOLOGICA;BIODIVERSIDADE;B2
0001-706X;ACTA TROPICA;CIÊNCIAS BIOLÓGICAS III                           ;B1
0001-706X;ACTA TROPICA;CIÊNCIAS BIOLÓGICAS III                           ;B1
0001-706X;ACTA TROPICA;CIÊNCIAS BIOLÓGICAS II                            ;B1
0001-706X;ACTA TROPICA;CIÊNCIAS BIOLÓGICAS I                             ;B1
